1402258,ART,101,C++
1500215,FLGL,101,C++
1402258,FLGL,101,C-
1553486,ANTH,220,C-
1560953,CSCI,466,C++
1421528,MATH,110,F
1478201,MGMT,217,A-
1421528,CSCI,467,C
1399234,CSCI,473,B+
1772123,MATH,110,B-
1513234,MATH,110,B-
1402258,MATH,110,C
1560953,CSCI,240,D
1355863,CSCI,330,B-
1553486,CSCI,473,B-
1355863,CSCI,467,B-
1638171,FLGL,201,C++
1560953,FLGL,201,F
1498765,MATH,230,B-
1399234,CSCI,467,C
1766348,STAT,473,C-
1401579,FLGL,102,F
1231872,CSCI,241,A-
1478201,MATH,155,A
1445566,ART,101,C
1399234,MATH,110,F
1231872,MATH,110,C
1498765,CSCI,240,B
1421528,CSCI,499,C++
1421528,FLGL,201,F
1355863,STAT,473,B
1402258,FLGL,201,F
1553486,CSCI,330,F
1772123,CSCI,241,A-
1766623,MGMT,217,B
1727272,CSCI,499,C
1638171,MUSE,394,C
1647812,MATH,229,C
1445566,MATH,110,C
1766623,CSCI,466,C-
1513234,CSCI,401,C-
1399842,CSCI,340,C++
1402258,MUSE,394,C-
1553486,STAT,473,C
1560953,CSCI,473,C++
1553486,CSCI,466,D
1500215,MATH,230,C
1766348,FLGL,201,C-
1421528,CSCI,241,B
1766348,MATH,110,C++
1355863,FLGL,101,A
1742912,CSCI,401,C++
1231872,FLGL,102,B
1560953,ART,101,F
1401579,MATH,110,D
1766348,CSCI,340,C-
1647812,MUSE,394,C-
1500215,FLGL,102,B
1513234,CSCI,340,B
1647812,CSCI,499,B
1498765,MGMT,217,B-
1500215,MGMT,217,B
1402258,PHYS,273,D
1727272,FLGL,101,C++
1375817,CSCI,241,A
1421528,CSCI,340,F
1421528,CSCI,330,F
1766623,MATH,110,C++
1445566,CSCI,499,B-
1772123,MATH,230,B-
1727272,MATH,110,F
1500215,MATH,110,B-
1513234,PHYS,273,B-
1766623,CSCI,467,B-
1399842,MUSE,394,B
1772123,ANTH,220,A
1498765,CSCI,401,C
1421528,FLGL,101,B
1727272,MATH,110,F
1399234,MATH,110,C++
1399234,ANTH,220,C++
1566721,MGMT,217,A
1498765,FLGL,201,B-
1566721,ANTH,220,B-
1445566,CSCI,467,C++
1766623,MATH,229,D
1566721,FLGL,101,A
1727272,CSCI,330,C
1560953,CSCI,401,F
1513234,MATH,155,A-
1498765,ANTH,220,B-
1445566,MATH,230,C-
1500215,CSCI,473,B-
1478201,MATH,229,A-
1375817,CSCI,240,B-
1375817,MATH,110,B
1401579,CSCI,240,C-
1566721,MUSE,394,C
1355863,MGMT,217,B
1727272,ANTH,220,C++
1647812,CSCI,466,B
1513234,CSCI,241,A
1766348,PSYC,102,B
1727272,CSCI,241,C++
1742912,ART,101,C++
1401579,MGMT,217,F
1399234,CSCI,340,F
1513234,CSCI,473,A
1402258,CSCI,467,D
1478201,PSYC,102,A
1401579,CSCI,473,B
1355863,ANTH,220,B-
1772123,CSCI,401,B
1421528,CSCI,466,B-
1500215,CSCI,466,B-
1421528,MGMT,217,C++
1355863,ART,101,B-
1445566,MGMT,217,B-
1399842,CSCI,467,B+
1401579,CSCI,466,B-
1772123,CSCI,499,A
1399842,ART,101,C++
1647812,CSCI,340,C++
1727272,CSCI,401,C
1401579,PHYS,273,C-
1560953,MGMT,217,C++
1478201,MUSE,394,C
1421528,ANTH,220,C
1638171,CSCI,473,C
1772123,ART,101,C++
1500215,PHYS,273,C++
1445566,CSCI,473,B-
1498765,CSCI,330,B
1647812,STAT,473,D
1727272,PHYS,273,F
1727272,MGMT,217,C
1766623,MUSE,394,C++
1647812,CSCI,240,F
1399234,FLGL,101,C
1500215,MATH,229,A-
1647812,PSYC,102,B+
1500215,CSCI,241,A
1553486,CSCI,467,C
1638171,MATH,229,B-
1647812,ART,101,C-
1647812,MGMT,217,B-
1399234,CSCI,330,B
1231872,MGMT,217,C++
1560953,MATH,230,C-
1742912,FLGL,101,C
1445566,CSCI,240,C
1399842,FLGL,101,B
1399234,CSCI,499,B-
1513234,PSYC,102,A-
1399842,MGMT,217,A-
1647812,MATH,110,F
1638171,PHYS,273,F
1500215,FLGL,201,D
1766623,ANTH,220,C
1766348,CSCI,466,C
1399234,MATH,230,F
1772123,PSYC,102,A
1375817,MATH,230,B
1399234,PHYS,273,F
1566721,CSCI,466,C++
1766348,MATH,155,B
1647812,CSCI,330,C-
1727272,CSCI,473,B
1399842,CSCI,466,A-
1445566,CSCI,466,C++
1402258,CSCI,401,F
1478201,ART,101,B
1355863,CSCI,401,F
1766623,CSCI,330,D
1375817,CSCI,340,C++
1513234,FLGL,101,B
1500215,MATH,110,C++
1421528,MATH,229,C-
1513234,ART,101,C++
1355863,FLGL,201,B-
1566721,CSCI,240,B
1727272,ART,101,C-
1355863,CSCI,241,A
1727272,FLGL,201,C
1355863,CSCI,499,B-
1445566,MATH,110,F
1638171,CSCI,340,D
1772123,FLGL,102,A
1445566,CSCI,241,A-
1355863,CSCI,340,B+
1566721,MATH,110,B-
1553486,FLGL,102,F
1566721,CSCI,330,A-
1231872,PHYS,273,B
1560953,PHYS,273,F
1727272,MUSE,394,D
1766623,CSCI,241,B-
1647812,CSCI,473,B+
1553486,MATH,110,C-
1402258,MATH,155,B-
1766623,PHYS,273,D
1500215,ART,101,C
1402258,STAT,473,C
1566721,CSCI,467,B-
1231872,CSCI,467,F
1766348,ART,101,F
1772123,MUSE,394,B-
1513234,STAT,473,B
1231872,CSCI,340,C-
1401579,CSCI,467,C
1478201,CSCI,467,B+
1445566,CSCI,401,C++
1553486,FLGL,201,F
1566721,PSYC,102,A
1553486,MATH,155,B
1727272,FLGL,102,C-
1566721,MATH,230,C
1375817,CSCI,499,A
1498765,MUSE,394,C
1231872,CSCI,499,B
1766348,FLGL,101,C-
1742912,ANTH,220,C
1638171,CSCI,499,C
1399234,CSCI,401,F
1375817,ANTH,220,A-
1498765,MATH,229,B-
1402258,CSCI,240,F
1513234,FLGL,102,B
1766348,MUSE,394,C++
1399842,MATH,110,C++
1566721,FLGL,102,A
1402258,ANTH,220,C-
1478201,CSCI,330,C++
1560953,MATH,155,A-
1772123,CSCI,473,B+
1355863,MATH,110,C++
1727272,STAT,473,D
1231872,MUSE,394,F
1553486,CSCI,340,C-
1375817,MATH,229,B
1742912,CSCI,466,F
1766348,CSCI,467,B-
1647812,CSCI,401,D
1727272,MATH,229,B
1401579,MATH,110,F
1421528,CSCI,401,C
1638171,FLGL,102,D
1500215,CSCI,340,C
1355863,CSCI,466,B+
1766348,MATH,110,F
1231872,PSYC,102,A-
1421528,MATH,230,F
1402258,CSCI,466,D
1399234,PSYC,102,A-
1638171,MATH,110,F
1231872,CSCI,401,C-
1742912,MATH,155,B+
1355863,PHYS,273,C++
1772123,CSCI,340,B+
1766623,MATH,155,B-
1421528,ART,101,C
1766623,CSCI,240,F
1560953,FLGL,101,C
1742912,CSCI,473,B+
1399842,CSCI,473,B
1500215,CSCI,401,D
1566721,CSCI,499,B
1478201,CSCI,340,B+
1772123,CSCI,240,A-
1401579,FLGL,201,C-
1402258,CSCI,241,C
1638171,MATH,230,D
1742912,MATH,110,C-
1742912,CSCI,467,C
1445566,CSCI,340,C++
1498765,CSCI,466,A-
1498765,CSCI,499,A
1513234,MGMT,217,B
1401579,CSCI,499,B
1742912,MUSE,394,B-
1766623,STAT,473,F
1498765,MATH,110,B-
1638171,CSCI,466,B-
1231872,FLGL,201,B-
1399842,PHYS,273,C++
1399234,ART,101,C-
1742912,CSCI,499,C
1727272,CSCI,466,F
1402258,MGMT,217,D
1766623,FLGL,201,F
1560953,STAT,473,D
1647812,FLGL,101,B
1500215,STAT,473,D
1772123,CSCI,466,B+
1647812,PHYS,273,D
1647812,CSCI,241,B+
1513234,CSCI,466,A-
1375817,FLGL,201,B-
1375817,PSYC,102,A-
1402258,PSYC,102,C++
1742912,CSCI,330,C
1478201,CSCI,401,C-
1421528,PSYC,102,C++
